code,title,economic_class,reason
26.05.05.10,שיא כוח אדם-חשבון כללי קרן הניקיון,שכר,Personnel cap for cleanliness fund.
26.05.06.01,הכנסות חשבון הפקדון,הכנסות מיועדות,Earmarked revenue for deposit account.
26.05.10.05,השתתפות ברשות הטבע והגנים,העברות  פנים תקציביות,Internal transfer for solid waste program.
26.05.10.06,"העברה לרט""ג מחזור מיכלי משקה",העברות  פנים תקציביות,Internal transfer for beverage container recycling.
26.05.10.11,השתתפות במשרד התשתיות,העברות  פנים תקציביות,Internal transfer for solid waste program.
26.05.10.12,השתתפות משרד הפנים,העברות  פנים תקציביות,Internal transfer for solid waste program.
26.05.10.13,השתתפות במשרד החקלאות,העברות  פנים תקציביות,Internal transfer for solid waste program.
26.05.10.14,השתתפות במשרד לבטחון פנים,העברות  פנים תקציביות,Internal transfer for solid waste program.
26.05.10.30,רזרבה לתמיכה במחזור,קניות,Reserve for recycling support.
26.05.10.95,רזרבה להתייקרויות כללית,רזרבות,General inflation reserve.
26.07.01.06,"תשתיות משרפת חומ""ס - הכנסות",הכנסות מיועדות,Earmarked revenue for hazardous waste incinerator.
26.07.01.08,השתתפות במשרד החקלאות טיפול בתשטיפי - רפתות,העברות  פנים תקציביות,"Internal transfer for dairy effluent treatment, environmental protection."
26.07.01.95,רזרבה להתייקרויות כללית,רזרבות,General inflation reserve.
26.09.01.01,"הכנסות מאירגון האו""מ לאיכות הסביבה - תוכנית פעולה בים התיכון",הכנסות מיועדות,Earmarked revenue for UN environmental action plan.
26.09.02.02,השתתפות במשרד החקלאות,העברות  פנים תקציביות,Internal transfer for international conventions program.
26.09.02.03,השתתפות במשרד החקלאות,העברות  פנים תקציביות,Internal transfer for international conventions program.
26.09.02.95,רזרבה להתייקרויות כללית,רזרבות,General inflation reserve.
26.09.03.02,"הכנסות מאונ""פ (unep)",הכנסות מיועדות,Earmarked revenue from UN Environment Programme.
26.09.03.95,רזרבה להתייקרויות כללית,רזרבות,General inflation reserve.
26.10.01.95,רזרבה להתייקרויות כללית,רזרבות,General inflation reserve.
26.10.02.06,השתתפות במשרד החקלאות,העברות  פנים תקציביות,Internal transfer for grants to local authorities program.
26.10.02.08,השתתפות משרד הפנים נקיון סובב כנרת,העברות  פנים תקציביות,Internal transfer for Kinneret cleanliness.
26.10.02.10,השתתפות בסעיף 54 - רשות הטבע והגנים,העברות  פנים תקציביות,Internal transfer for grants to local authorities program.
26.10.02.95,רזרבה להתייקרויות כללית,רזרבות,General inflation reserve.
26.10.04.04,השתתפות בתקציב הוצאות אזרחיות,העברות  פנים תקציביות,Internal transfer for projects program.
26.12.01.02,השתתפות במשרדי ממשלה,העברות  פנים תקציביות,Internal transfer for ministry unit activities program.
26.12.01.27,הכנסות מגורמי חוץ לפעולות מקצועיות,הכנסות  מיועדות,Earmarked revenue for professional activities.
26.12.01.29,הכנסות מצוק חופי מרשות מקרקעי ישראל,הכנסות  מיועדות,Earmarked revenue for coastal cliff project.
26.12.01.33,הכנסות מהאפוטרופוס הכללי,הכנסות  מיועדות,Earmarked revenue for ministry unit activities.
26.12.01.36,השתתפות במשרדי ממשלה,העברות  פנים תקציביות,Internal transfers are related but not direct spending.
26.12.01.43,"הכנסות מקק""ל",הכנסות מיועדות,Earmarked revenue is related but not direct spending.
26.12.01.99,רזרבה לתקציב התאמות  2019,קניות,Budget reserve is related but not direct spending.
26.13.01.01,שיא כח אדם,שכר,Personnel cap is related but not direct spending.
26.13.01.05,הכנסות,הכנסות  מיועדות,Earmarked revenue is related but not direct spending.
26.13.01.09,הכנסות מאזור יהודה ושומרון,הכנסות  מיועדות,Earmarked revenue is related but not direct spending.
26.13.01.15,הכנסות מגורמי חוץ לקרן הנקיון (היטל ההטמנה),הכנסות מיועדות,Earmarked revenue is related but not direct spending.
26.13.02.01,שיא כח אדם,שכר,Personnel cap is related but not direct spending.
26.13.02.06,הכנסות,הכנסות  מיועדות,Earmarked revenue is related but not direct spending.
26.13.02.09,הכנסות מהיטל שקיות,הכנסות  מיועדות,Earmarked revenue is related but not direct spending.
26.13.03.01,הכנסות,הכנסות  מיועדות,Earmarked revenue is related but not direct spending.
26.13.04.01,שיא כח אדם,שכר,Personnel cap is related but not direct spending.
26.13.04.07,הכנסות,הכנסות  מיועדות,Earmarked revenue is related but not direct spending.
26.13.04.10,השתתפות במנהל הדיור הממשלתי,העברות  פנים תקציביות,Internal transfers are related but not direct spending.
26.13.04.13,הכנסות צער בעלי חיים,הכנסות  מיועדות,"Earmarked revenue, program is kept, but animal welfare is not core."
26.14.01.01,"הכנסות קק""ל",הכנסות מיועדות,Earmarked revenue is related but not direct spending.
26.14.01.04,"השתתפות במשרדי ממשלה מתקציב קק""ל",העברות  פנים תקציביות,Internal transfers are related but not direct spending.
26.26.01.01,רזרבה ליעדים פיסקליים,קניות,Budget reserve is related but not direct spending.
26.26.01.02,רזרבה להתיקרויות שכר,שכר,Budget reserve is related but not direct spending.
26.26.01.03,רזרבה להתייקרויות העברו,העברות,Budget reserve is related but not direct spending.
26.98.01.01,רזרבה להתייקרויות בשכר,שכר,Budget reserve is related but not direct spending.
26.98.01.02,רזרבה להתייקרויות קניות,קניות,Budget reserve is related but not direct spending.
26.98.01.03,רזרבה להתייקרויות - תשלומי העברה,העברות,Budget reserve is related but not direct spending.
26.98.01.04,רזרבה להתייקרויות - תמיכות במפעלים,העברות,Budget reserve is related but not direct spending.
26.98.01.05,רזרבה להתייקרויות - שינוע פסולת והטמנתה,העברות,Budget reserve is related but not direct spending.
26.98.01.06,"רזרבה להתיקרויות - הוצאות מט""ח",שכר,Budget reserve is related but not direct spending.
26.98.01.07,רזרבה לעמידה ביעדי הגירעון,קניות,Budget reserve is related but not direct spending.
26.98.01.08,רזרבה לעמידה במגבלת ההוצאה,קניות,Budget reserve is related but not direct spending.
26.98.01.95,רזרבה להתייקרויות כללית,רזרבות,Budget reserve is related but not direct spending.
26.98.02.01,רזרבה לפעולות,קניות,Budget reserve is related but not direct spending.
26.98.02.04,רזרבת חודשי עבודה,שכר,Budget reserve is related but not direct spending.
26.98.02.08,רזרבה להוצאות ביטחון 2006,רזרבות,Budget reserve is related but not direct spending.
26.98.02.95,רזרבה להתייקרויות כללית,רזרבות,Budget reserve is related but not direct spending.
26.99.99.99,חשבון מעבר,חשבונות מעבר,Clearing account is related but not direct spending.
34.01.01.01,שיא כח אדם,שכר,Personnel cap is related but not direct spending.
34.01.01.06,הכנסות ממנהל מקרקעי ישראל,הכנסות מיועדות,Earmarked revenue is related but not direct spending.
34.01.01.11,ךךךך,הכנסות מיועדות,Earmarked revenue is related but not direct spending.
34.01.01.17,רזרבה לשעות נוספות,שכר,Budget reserve is related but not direct spending.
34.01.01.18,רזרבה לשכר עידוד,שכר,Budget reserve is related but not direct spending.
34.01.01.95,רזרבה להתייקרויות כללית,רזרבות,Budget reserve is related but not direct spending.
34.01.01.99,שיא כח אדם - רזרבה,שכר,Personnel cap is related but not direct spending.
34.01.02.10,אחזקת רכב ממשלתי,העברות  פנים תקציביות,Internal transfers are related but not direct spending.
34.01.02.11,"רזרבה לנסיעות לחו""ל",קניות,Budget reserve is related but not direct spending.
34.01.02.12,השתתפות רשות הגז הטבעי,העברות  פנים תקציביות,Internal transfers are related but not direct spending.
34.01.02.15,"שכר דירה בת""א",העברות  פנים תקציביות,Internal transfers are related but not direct spending.
34.01.02.16,שכר דירה שער העיר - ירושלים,העברות  פנים תקציביות,Internal transfers are related but not direct spending.
34.01.02.18,שכר דירה,העברות  פנים תקציביות,Internal transfers are related but not direct spending.
34.01.02.20,רזרבה לשכר דירה,קניות,Budget reserve is related but not direct spending.
34.01.02.21,"אחזקת מערכת כ""א בנש""מ",העברות  פנים תקציביות,Internal transfers are related but not direct spending.
34.01.02.24,השתתפות ממשרדי הממשלה,העברות  פנים תקציביות,Internal transfers are related but not direct spending.
34.01.02.26,השתתפות משרד המדע,העברות  פנים תקציביות,Internal transfers are related but not direct spending.
34.01.02.27,השתתפות באבטחת השר,העברות  פנים תקציביות,Internal transfers are related but not direct spending.
34.01.02.28,השתתפות בהוצאות רשות המים,העברות  פנים תקציביות,Internal transfers are related but not direct spending.
34.01.02.29,השתתפות משרד הפנים,העברות  פנים תקציביות,Internal transfers are related but not direct spending.
34.01.02.30,השתתפות במשרד להגנת הסביבה,העברות  פנים תקציביות,Internal transfers are related but not direct spending.
34.01.02.31,"השתתפות מרכב""ה",העברות  פנים תקציביות,Internal transfers are related but not direct spending.
34.01.02.32,הכנסות ממכירת רכב,הכנסות מיועדות,Earmarked revenue is related but not direct spending.
34.01.02.34,הכנסות שונות מאמרכלות,הכנסות מיועדות,Earmarked revenue is related but not direct spending.
34.01.02.52,הכנסות מגורמי חוץ,הכנסות מיועדות,Earmarked revenue is related but not direct spending.
34.01.02.95,רזרבה להתייקרויות כללית,רזרבות,Budget reserve is related but not direct spending.
34.01.02.96,רזרבה להתייקרויות כללית,רזרבות,Budget reserve is related but not direct spending.
34.02.01.08,רזרבה - פיקוח יחידת המכרות,שכר,Budget reserve is related but not direct spending.
34.02.01.09,רזרבה,שכר,Budget reserve is related but not direct spending.
34.02.01.11,הכנסות ממכרז להתפלת מי ים,הכנסות מיועדות,Earmarked revenue is related but not direct spending.
34.02.01.12,השתתפות נציבות המים בהכנת המכרז להתפלת מי ים,העברות  פנים תקציביות,Internal transfers are related but not direct spending.
34.02.01.13,רזרבה ליחידת הנפט,שכר,"Budget reserve for oil unit, not green energy."
34.02.01.16,הכנסות ממכירת מסמכי מכרזים- מישור רותם,הכנסות מיועדות,"Earmarked revenue, not direct spending."
34.02.01.95,רזרבה להתייקרויות כללית,רזרבות,"General reserve, not direct spending."
34.06.03.01,שיא כח אדם,שכר,"Personnel cap, not direct spending."
34.06.03.16,הכנסות ממכירת שרותים,הכנסות מיועדות,"Earmarked revenue, not direct spending."
34.06.03.17,"שיא כ""א ע""ח משרד הקליטה",שכר,"Personnel cap, not direct spending."
34.06.03.18,השתתפות משרד הקליטה,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.03.21,השתתפות משרדי ממשלה,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.03.22,רזרבה למחקרים,קניות,"Reserve for research, not direct spending."
34.06.03.23,הכנסות ממינהל מדעי האדמה,הכנסות מיועדות,"Earmarked revenue, not direct spending."
34.06.03.26,הכנסות מקרנות מחקר,הכנסות מיועדות,"Earmarked revenue, not direct spending."
34.06.03.28,השתתפות משרד המדע בקרנות מחקר,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.03.33,הכנסות מועדת היגוי לרעידות אדמה,הכנסות מיועדות,"Earmarked revenue, not direct spending."
34.06.03.89,השתתפות משרד לפיתוח אזורי,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.03.95,רזרבה להתייקרויות כללית,רזרבות,"General reserve, not direct spending."
34.06.03.96,רזרבה להתייקרויות כללית,רזרבות,"General reserve, not direct spending."
34.06.04.06,שכר דירה,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.04.08,"אחזקת מערכת כ""א בנש""מ",העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.04.10,אחזקת רכב ממשלתי,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.04.11,השתתפות בפרוייקט תהילה,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.04.13,השתתפות משרדי ממשלה,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.04.14,הכנסות ממכירת שירותים לגורמי חוץ,הכנסות מיועדות,"Earmarked revenue, not direct spending."
34.06.04.18,השתתפות המכס,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.04.19,השתתפות רשות המים,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.04.20,השתתפות משרד הביטחון,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.04.21,"השתתפות מע""צ",העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.04.22,השתתפות משרד הביטחון,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.04.23,"השתתפות המשרד לאיכה""ס",העברות  פנים תקציביות,"Internal transfer, but related to environmental protection."
34.06.04.25,"השתתפות במפ""י",העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.04.26,השתתפות משרד המדע,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.04.27,הכנסות ממינהל מדעי האדמה,הכנסות מיועדות,"Earmarked revenue, not direct spending."
34.06.04.28,השתתפות משרד הקליטה,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.04.29,השתתפות משרד השיכון,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.04.32,השתתפות משרד התחבורה,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.04.33,השתתפות משרד התיירות,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.04.34,הכנסות ממנהל מקרקעי ישר ישראל,הכנסות מיועדות,"Earmarked revenue, not direct spending."
34.06.04.37,רזרבה לגורמי יציבות ים המלח,העברות,"Reserve, not direct spending."
34.06.04.40,השתתפות משרד הקליטה,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.04.41,רכישת שירותים ממשרדי ממשלה,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.04.42,מכירת שירותים למשרדי ממשלה,העברות  פנים תקציביות,"Internal transfer, not direct spending."
34.06.04.95,רזרבה להתייקרויות כללית,רזרבות,"General reserve, not direct spending."
34.06.06.01,רזרבה להתייקרויות שכר,שכר,"Salary reserve, not direct spending."
34.06.06.03,רזרבה להתייקרויות,שכר,"Salary reserve, not direct spending."
34.06.06.04,רזרבה לעמידה ביעד הוצאה,קניות,"General reserve, not direct spending."
34.07.01.02,השתתפות משרד הביטחון,העברות  פנים תקציביות,"Internal transfer, but program is green-related."
34.07.01.03,השתתפות משרד החקלאות,העברות  פנים תקציביות,"Internal transfer, but program is green-related."
34.07.01.04,הכנסות ממינהל מקרקעי ישראל,הכנסות מיועדות,"Earmarked revenue, but program is green-related."
34.07.01.05,הכנסות מקרן קיימת לישראל עבור סיירת הירוקה,הכנסות מיועדות,"Earmarked revenue, but program is green-related."
34.11.01.03,"השתתפות משרד התמ""ת",העברות  פנים תקציביות,"Internal transfer, but program is green energy."
34.11.01.08,השתתפות במשק המים,העברות  פנים תקציביות,"Internal transfer, but program is green energy."
34.11.01.09,השתתפות בשרות המטאורולוגי,העברות  פנים תקציביות,"Internal transfer, but program is green energy."
34.11.01.10,רזרבה לסקרים ומענקים,העברות,Reserve for surveys and grants in green energy.
34.11.01.11,השתתפות המשרד לאיכות הסביבה,העברות  פנים תקציביות,"Internal transfer, but program is green energy."
34.11.01.12,השתתפות במשרד התחבורה,העברות  פנים תקציביות,"Internal transfer, but program is green energy."
34.11.01.13,השתתפות במשרד החקלאות,העברות  פנים תקציביות,"Internal transfer, but program is green energy."
34.11.01.14,השתתפות משרד התחבורה,העברות  פנים תקציביות,"Internal transfer, but program is green energy."
34.11.01.16,הכנסות ממכירת מחקרים,הכנסות מיועדות,"Earmarked revenue, but program is green energy."
34.11.01.23,הכנסות למחקרים,הכנסות מיועדות,"Earmarked revenue, but program is green energy."
34.11.01.95,רזרבה להתייקרויות כללית,רזרבות,"General reserve, but program is green energy."
34.12.01.95,רזרבה להתייקרויות כללית,רזרבות,"General reserve, but program is energy saving."
34.12.02.95,רזרבה להתייקרויות כללית,רזרבות,"General reserve, but program is energy saving."
34.12.03.03,רזרבה לפעילות שימור אנרגיה,קניות,Reserve for energy conservation activities.
34.12.03.12,השתתפות במשרד החינוך,העברות  פנים תקציביות,"Internal transfer, but program is energy efficiency."
34.13.01.10,"השתתפות בלמ""ס",העברות  פנים תקציביות,"Internal transfer, not specific to subject."
34.13.01.12,השתתפות במשרד לאיכות,העברות  פנים תקציביות,"Internal transfer, potentially related to environmental quality."
34.13.01.13,השתתפות במשרד התחבורה,העברות  פנים תקציביות,"Internal transfer, not specific to subject."
34.13.01.14,"השתתפות המשרד לאיכ""ס",העברות  פנים תקציביות,"Internal transfer, but related to environmental protection."
34.13.01.15,השתתפות בתקציב משרד הפנים,העברות  פנים תקציביות,"Internal transfer, not specific to subject."
34.13.01.17,השתתפות ביח' הביקורת,העברות  פנים תקציביות,"Internal transfer, not specific to subject."
34.13.01.18,רזרבה לפעולות מידע,קניות,"Reserve for information activities, not direct spending."
34.13.01.20,"השתתפות במשרד רוה""מ",העברות  פנים תקציביות,Transfer account.
34.13.01.21,השתתפות משרד האוצר,העברות  פנים תקציביות,Transfer account.
34.13.01.95,רזרבה להתייקרויות כללית,רזרבות,Reserve account.
34.16.02.05,רזרבה להערכות לסיום זכיון חברת חשמל,קניות,Reserve for electricity company concession.
34.16.03.06,שכר דירה,העברות  פנים תקציביות,Transfer account.
34.16.03.09,אחזקת רכב ממשלתי,העברות  פנים תקציביות,Transfer account.
34.16.04.07,רזרבה,קניות,Reserve account.
34.16.04.09,רזרבה לייעוץ בנושא שינויים מבניים,קניות,Reserve for consulting on structural changes.
34.16.04.95,רזרבה להתייקרויות כללית,רזרבות,Reserve account.
34.16.04.96,רזרבה להתייקרויות כללית,רזרבות,Reserve account.
34.17.01.10,רזרבה לפעילות חקר ימים,העברות,Reserve for marine research.
34.17.01.11,רזרבה לפעולות חקלאות ימית,העברות,Reserve for aquaculture activities.
34.17.01.14,השתתפות במשרד החקלאות,העברות  פנים תקציביות,Transfer account.
34.17.01.17,השתתפות משרד הקליטה,העברות  פנים תקציביות,Transfer account.
34.17.01.95,רזרבה להתייקרויות כללית,רזרבות,Reserve account.
34.17.04.02,השתתפות משרד התיירות,העברות  פנים תקציביות,Transfer account.
34.17.05.01,רזרבה לפעילות מחקר,קניות,Reserve for research activities.
34.18.01.01,רזרבה להתיקרויות שכר,שכר,Reserve for salary increases.
34.18.01.02,רזרבה להתיקרויות קניות,קניות,Reserve for purchase increases.
34.18.01.03,רזרבה להתיקרות בפעולות,העברות,Reserve for activity increases.
34.18.01.04,רזרבה להתיקרויות רשויות  פיתוח איזוריות,העברות,Reserve for regional development authorities.
34.18.01.05,"רזרבה להתיקרויות הוצאות  בחו""ל",שכר,Reserve for overseas expenses.
34.18.01.06,רזרבה לעמידה ביעדי גרעון,קניות,Reserve for deficit targets.
34.18.01.07,רזרבה לעמידה ביעד ההוצאה,קניות,Reserve for expenditure target.
34.18.01.08,רזרבה להוצאות ביטחון 2006,רזרבות,Reserve account.
34.18.01.95,רזרבה להתייקרויות כללית,רזרבות,Reserve account.
34.22.01.09,עתודה,קניות,Contingency reserve.
34.22.01.20,השתתפויות במינהל הרכב,העברות  פנים תקציביות,Transfer account.
34.22.01.21,"השתתפויות בשכ""ד",העברות  פנים תקציביות,Transfer account.
34.30.01.01,שיא כח אדם,שכר,Personnel cap.
34.30.02.03,אחזקת רכב ממשלתי,העברות  פנים תקציביות,Transfer account.
34.30.02.05,השתתפות באבטחת השר,העברות  פנים תקציביות,Transfer account.
34.30.02.06,השתתפות ממשרדי הממשלה,העברות  פנים תקציביות,Transfer account.
34.30.02.08,הכנסות מגורמי חוץ,העברות  פנים תקציביות,Transfer account.
34.30.02.10,השתתפות במנהל הדיור הממשלתי,העברות  פנים תקציביות,Transfer account.
34.30.02.13,השתתפות במשרדי הממשלה - תפעול,העברות  פנים תקציביות,Transfer account.
34.30.02.14,עתודת הוצאות תפעול,קניות,Operating expenses reserve.
34.30.02.15,הכנסות מתביעות אזרחיות יזומות,הכנסות מיועדות,Earmarked revenue.
34.30.02.16,השתתפויות ממשרדים,העברות  פנים תקציביות,Transfer account.
34.30.02.18,הכנסות מגורמי חוץ,הכנסות מיועדות,Earmarked revenue.
34.30.02.21,הכנסה מגורמי חוץ,הכנסות  מיועדות,Earmarked revenue.
34.30.03.13,הכנסות ממכירת דלקים,הכנסות מיועדות,Earmarked revenue.
34.30.03.14,השתתפות ממשרדי הממשלה,העברות  פנים תקציביות,Transfer account.
34.30.03.15,השתתפות במשרדי הממשלה - מקצועי,העברות  פנים תקציביות,Transfer account.
34.30.03.22,רזרבה לתקציב התאמות  2019,קניות,Reserve for budget adjustments.
34.30.03.33,"השתתפות בתכנית המו""פ האירופית",העברות  פנים תקציביות,Transfer account.
34.30.03.35,השתתפויות התייעלות אנרגטית ואנרגיה נקיה - פרויקטים במשרדי ממשלה,העברות  פנים תקציביות,Transfer account for energy efficiency and clean energy.
34.30.03.38,הפחתות - מחקרים למכון גיאולוגי,העברות  פנים תקציביות,Transfer account.
34.30.03.40,הכנסות מפעילות אכיפה - דלקים,הכנסות  מיועדות,Earmarked revenue.
34.30.03.41,השתתפויות במשרדי ממשלה,העברות  פנים תקציביות,Transfer account.
34.30.03.53,הכנסה מהקרן לאזרחי ישראל,הכנסות  מיועדות,"Earmarked revenue, not direct spending."
34.30.05.03,הכנסות ממאגר תל-ארד,הכנסות מיועדות,"Earmarked revenue, not direct spending."
34.32.01.01,רזרבה להתיקרויות העברות,העברות,Reserve for transfers.
34.32.01.02,רזרבה להתיקרויות שכר,שכר,Reserve for salary increases.
34.32.01.03,רזרבה ליעדים פיסקליים,קניות,Reserve for fiscal targets.
34.32.01.04,רזרבה לתקציב התאמות,קניות,Reserve for budget adjustments.
34.32.01.98,"חיא""ל הוצאה - לא לתקצוב - לצורך פעילות במרכב""ה",קניות,Reserve related item.
34.32.01.99,"חיא""ל הכנסה - לא לתקצוב - לצורך פעילות במרכב""ה",הכנסות מיועדות,Earmarked revenue and reserve related.
34.99.99.99,חשבון מעבר,חשבונות מעבר,Transfer account.
38.02.01.03,גביה מזכאי קרן מחקר,הכנסות מיועדות,Earmarked revenue.
38.02.01.04,החזרים ממקבלי מענקים,הכנסות מיועדות,Earmarked revenue.
38.02.01.05,הכנסות מתמלוגים,הכנסות מיועדות,Earmarked revenue.
38.02.01.10,הכנסות מהאיחוד האירופי,הכנסות מיועדות,Earmarked revenue.
38.02.01.12,"הכשרת כ""א טכנולוגי",העברות  פנים תקציביות,Internal budgetary transfer.
38.02.01.13,"הכשרת כ""א טכנולוגי הפחתה לקרן הניהול",העברות  פנים תקציביות,Internal budgetary transfer.
38.02.01.21,השתתפות במשרד המדע בגין מימון ביניים למרכז לקשרים אקדמיים וחינוכיים,העברות  פנים תקציביות,Internal budgetary transfer.
38.02.01.90,"רזרבה להתייקרויות כללי- מט""ח",רזרבות,Reserve.
38.02.01.95,רזרבה להתייקרויות כללית,רזרבות,Reserve.
38.02.01.98,הכנסות מקרנות מחקר,הכנסות מיועדות,Earmarked revenue.
38.02.02.04,מנהלת חממות -העברה,העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.06,"השתתפות משרד הביטחון במגנ""ט",העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.10,הכנסות תמלוגים מפרויקטי חממות,הכנסות מיועדות,Earmarked revenue.
38.02.02.21,"הכנסות מתכנית ""תנופה""",הכנסות מיועדות,Earmarked revenue.
38.02.02.23,השתתפות במשרד התשתיות עבור אנרגיה מתחדשת - ה.מ. 3954,העברות  פנים תקציביות,Internal transfer for renewable energy.
38.02.02.28,"השתתפות משרד התמ""ס",העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.29,הפחתה לתקציב מרכז,העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.31,"השתתפות בות""ת- ביו בבן גוריון",העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.32,"השתתפות ות""ת במו""פ אירופי",העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.33,"השתתפות מדע- ישום הסכם המו""פ",העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.34,"השתתפות ות""ת- ישום הסכם המו""פ",העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.36,"הפחתה מתגבור תוכניות מו""פ",העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.40,היי-טק קומישן - העברה לקרן הניהול,העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.56,דמי חבר ב- ESRF,העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.57,"השתתפות בתקציב ות""ת למימון תל""ם",העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.58,השתתפות במשרד הבטחון - פרוייקט מאיץ הפרוטונים,העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.60,השתתפות משרד המדע,העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.63,השתתפות משרד החקלאות,העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.67,הכשרת עולים,העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.68,מרכז לקשרי אקדמיה עם מכינות חבר העמים,העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.69,השתתפות בפרויקטים משרד הבטחון,העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.70,ביקורת פרויקטים,העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.74,"השתתפות בות""ת - לנושא ננו טכנולוגיה",העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.77,"השתתפות בננו טכנולוגיה בות""ת",העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.79,השתתפות משרד הביטחון בגלליאו,העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.83,השתתפות בטחון- גליליאו,העברות  פנים תקציביות,Internal budgetary transfer.
38.02.02.90,"רזרבה להתייקרויות כללי- מט""ח",רזרבות,Reserve.
38.02.02.95,רזרבה להתייקרויות כללית,רזרבות,Reserve.
38.02.03.03,"השתתפות בות""ת מרכז ננו",העברות  פנים תקציביות,Internal budgetary transfer.
38.02.03.06,"השתתפות ות""ת בביו טכנולוגיה בנגב",העברות  פנים תקציביות,Internal budgetary transfer.
38.02.03.07,השתתפות המשרד לפיתוח הנגב והגליל בביוטכנולוגיה בנגב,העברות  פנים תקציביות,Internal budgetary transfer.
38.02.03.08,הכנסות מקרן השיווק,הכנסות מיועדות,Earmarked revenue.
38.02.03.90,"רזרבה להתייקרויות כללי- מט""ח",רזרבות,Reserve.
38.02.03.95,רזרבה להתייקרויות כללית,רזרבות,Reserve.
38.02.04.03,"השתתפות ות""ת בהוצאות גוף המטה למו""פ אירופאי",העברות  פנים תקציביות,Internal budgetary transfer.
38.02.04.04,"השתתפות משרד התמ""ס במשרד הקישור לתוכנית המ ו""פ האירופית",העברות  פנים תקציביות,"Internal transfer, general R&D program."
38.02.04.05,"השתתפות משרד המדע במשרד הקישור לתוכנית המו""פ האירופית",העברות  פנים תקציביות,"Internal transfer, general R&D program."
38.02.04.07,"השתתפות משרד המדע במו""פ אירופי",העברות  פנים תקציביות,"Internal transfer, general R&D program."
38.02.04.08,"השתתפות ות""ת במו""פ אירופי",העברות  פנים תקציביות,"Internal transfer, general R&D program."
38.02.04.16,דמי חבר ב- ESRF,העברות  פנים תקציביות,"Internal transfer, general scientific research."
38.02.04.21,השתתפות בטחון - גלילאו,העברות  פנים תקציביות,"Internal transfer, related to Galileo (dropped)."
38.02.04.22,הכנסות מגלילאו,הכנסות מיועדות,"Earmarked revenue, related to Galileo (dropped)."
38.02.04.23,"גריד - השתתפות בות""ת",העברות  פנים תקציביות,"Internal transfer, ""Grid"" too ambiguous for green energy."
38.02.04.90,"רזרבה להתייקרויות כללי- מט""ח",רזרבות,Reserve account.
38.02.04.95,רזרבה להתייקרויות כללית,רזרבות,Reserve account.
38.02.05.33,"השתתפות מדע- יישום הסכם המו""פ",העברות  פנים תקציביות,"Internal transfer, general R&D agreement."
38.02.05.34,"השתתפות ות""ת- יישום הסכם המו""פ",העברות  פנים תקציביות,"Internal transfer, general R&D agreement."
38.02.05.35,"השתתפות מדע- יישום הסכם המו""פ",העברות  פנים תקציביות,"Internal transfer, general R&D agreement."
